ID,Scaffold,Activity,Canonicalsmiles
146,c1ccc2c(c1)Cc1cc(CN3CCOCC3)ccc1-2,0,c1ccc2c(c1)Cc1cc(CN3CCOCC3)ccc1-2
147,O=C1NC(=S)C(=Cc2c[nH]c3ccccc23)S1,0,O=C1NC(=S)C(=Cc2c[nH]c3ccccc23)S1
148,c1ccc(-c2sc3cc4c(cc3c2-c2ccc(OCCN3CCOCC3)cc2)OCO4)cc1,0,c1ccc(-c2sc3cc4c(cc3c2-c2ccc(OCCN3CCOCC3)cc2)OCO4)cc1
149,O=C(Nc1ccccc1N1CCN(C(=O)c2ccccc2)CC1)c1ccccc1,0,O=C(Nc1ccccc1N1CCN(C(=O)c2ccccc2)CC1)c1ccccc1
150,O=C(Cn1ncc2cn(-c3ccccc3)nc2c1=O)NCCc1cccs1,0,O=C(Cn1ncc2cn(-c3ccccc3)nc2c1=O)NCCc1cccs1
151,O=S(=O)(NCc1ccccc1)c1ccc[nH]1,0,O=S(=O)(NCc1ccccc1)c1ccc[nH]1
152,O=C(CSc1nc2ccccc2c(=O)[nH]1)Nc1ccccc1,0,O=C(CSc1nc2ccccc2c(=O)[nH]1)Nc1ccccc1
153,O=S(=O)(Nc1ccccc1)c1c[nH]cn1,0,O=S(=O)(Nc1ccccc1)c1c[nH]cn1
154,O=C(NCc1ccccc1)c1ccccc1,0,O=C(NCc1ccccc1)c1ccccc1
155,O=C(NCc1ccccc1)c1cc2nc(-c3ccccc3)ccn2n1,0,O=C(NCc1ccccc1)c1cc2nc(-c3ccccc3)ccn2n1
156,O=C(COc1ccc2cc(Cc3ccccc3)c(=O)oc2c1)c1ccccc1,0,O=C(COc1ccc2cc(Cc3ccccc3)c(=O)oc2c1)c1ccccc1
157,O=C(NNC(=O)c1cccs1)c1ccccc1,0,O=C(NNC(=O)c1cccs1)c1ccccc1
158,O=C(Oc1c(-c2ccccc2)c(=O)n2c3c(cccc13)CC2)c1ccco1,0,O=C(Oc1c(-c2ccccc2)c(=O)n2c3c(cccc13)CC2)c1ccco1
159,O=S(=O)(Cc1ccccc1)c1ncc2c(n1)CCC2,0,O=S(=O)(Cc1ccccc1)c1ncc2c(n1)CCC2
160,c1ccc(-c2csc3[n+]2CCS3)cc1,0,c1ccc(-c2csc3[n+]2CCS3)cc1
161,O=C(C=Cc1ccccc1)c1cccnc1,0,O=C(C=Cc1ccccc1)c1cccnc1
162,C(C=Cc1[nH+]c2ccccc2s1)=Cc1ccccc1,0,C(C=Cc1[nH+]c2ccccc2s1)=Cc1ccccc1
163,O=C(Nc1ccccc1)c1cc(-c2ccc3c(c2)OCO3)on1,0,O=C(Nc1ccccc1)c1cc(-c2ccc3c(c2)OCO3)on1
